Locus ID 	Symbol 
228775	Rab8b
228790	Scap
228829	AW610627
RIKEN cDNA 6820402O20 gene	BC021921
228839	Tceal1
228852	Tbpl1
228869	BC024063
228876	Zfp454
228880	Arid4a
RIKEN cDNA 3632413B07 gene	Homez
228980	BC031441
229004	Fem1c
229534	Setbp1
229663	BC024969
229906	Dmrt3
230073	St18
230162	Carf
230587	Lass6
230674	Dmrta1
230700	Dmrta2
RIKEN cDNA C330039G02 gene	E2f2
230753	Zfp128
230908	Zfp537
230936	Hip14l
230991	Myst3
RIKEN cDNA B930041F14 gene	Bsx
231044	Tbx22
231051	Tgifx1
231329	Rbbp7
231386	Polr2h
RIKEN cDNA A730098D12 gene	Onecut3
231986	Zfp277
231991	Mllt6
232232	Obox3
232337	Obox5
232807	Fev
232853	Shprh
RIKEN cDNA 5730403M16 gene	Phf12
232854	Zbtb1
RIKEN cDNA A230102I05 gene	Nrip1
232878	Caskin1
232906	Gtf3c4
RIKEN cDNA 6430596G11 gene	Cyln2
233056	Gcdh
RIKEN cDNA 6330581L23 gene	BC024139
233410	Zfp398
233490	Irf2bp1
233863	Spib
233887	Tcfl5
233890	Ankrd5
233908	Lba1
233987	Phf8
234725	Zhx3
234959	Rfxdc1
235028	Ep300
235041	AW146020
235050	Zfp82
235320	Tcfap2e
235442	Tieg2
235582	Nr1d2
RIKEN cDNA 6230410P16 gene	Mafa
235623	Mzf6d
235682	Cri2
236193	
237052	
237336	
237409	
237615	
RIKEN cDNA G431002C21 gene	
237758	
237960	
RIKEN cDNA 3526402J09 gene	
238247	
239099	
239546	
hypothetical protein 6030449J21	
239652	
RIKEN cDNA 9930016F01 gene	
240064	
RIKEN cDNA 6030490I01 gene	
240120	
240263	
240427	
240442	
240476	
RIKEN cDNA 6430585N13 gene	
240590	
240690	
241066	
241447	
241520	
RIKEN cDNA D430039N05 gene	
242523	
242620	
242705	
243187	
RIKEN cDNA E130309B19 gene	
243833	
243906	
RIKEN cDNA 4732429I09 gene	
243931	
243963	
RIKEN cDNA D030014N22 gene	
243983	
244349	
244713	
RIKEN cDNA D230022C05 gene	
244813	
244954	
RIKEN cDNA 6030424L22 gene	
245572	
245583	
245596	
RIKEN cDNA D030011N01 gene	
245688	
245841	
246086	
246196	
246198	
246791	
252829	
260298	
268281	
268301	
RIKEN cDNA 4921515A04 gene	
268396	
RIKEN cDNA G431001E03 gene	
268448	
268564	
268741	
RIKEN cDNA 5730589K01 gene	
268903	
268932	
269252	
269713	
269870	
RIKEN cDNA A630035I11 gene	
270076	
270627	
RIKEN cDNA B430306D02 gene	
271278	
271305	
RIKEN cDNA A730032D07 gene	
272347	
272359	
272382	
277353	
319196	
319207	
RIKEN cDNA 4921509E05 gene	
319535	
RIKEN cDNA 6330583I20 gene	
319594	
RIKEN cDNA A830014H24 gene	
319599	
RIKEN cDNA 5830403E09 gene	
319601	
RIKEN cDNA E430039K05 gene	
319615	
RIKEN cDNA 6330416L07 gene	
319695	
RIKEN cDNA 4932422E22 gene	
319785	
RIKEN cDNA D130026O16 gene	
320067	
RIKEN cDNA D830019J24 gene	
320376	
RIKEN cDNA B930011H20 gene	
320429	
320586	
RIKEN cDNA A630089N07 gene	
320595	
320790	
RIKEN cDNA A730019I05 gene	
320799	
320875	
RIKEN cDNA A830023I12 gene	
320995	
328572	
330301	
RIKEN cDNA A730012O14 gene	
330361	
330502	
332937	
338353	
RIKEN cDNA D030022P06 gene	
347691	
353187	
353208	
RIKEN cDNA 2810021G02 gene	
378435	
381319	
RIKEN cDNA 9130211I03 gene	
386626	
386655	
