symbol	function description	source	confidence code	Previous.Symbols	Synonyms
HMG20B	high-mobility group 20B	based on GO term	CC:1		SOXL, HMGX2, BRAF35, SMARCE1r, BRAF25, HMGXB2
HMGA1	high mobility group AT-hook 1	based on GO term	CC:1	HMGIY	
HMGB2	high-mobility group box 2	based on GO term	CC:1	HMG2	
HMGN1	high-mobility group nucleosome binding domain 1	based on GO term	CC:1	HMG14	FLJ27265, FLJ31471, MGC104230, MGC117425
HMX1	H6 family homeobox 1	based on GO term	CC:1		H6, NKX5-3
HMX2	H6 family homeobox 2	based on GO term	CC:1		NKX5-2
HMX3	H6 family homeobox 3	based on GO term	CC:1		NKX5-1
HNF1A	HNF1 homeobox A	based on GO term	CC:1	MODY3, TCF1	HNF1, LFB1
HNF1B	HNF1 homeobox B	based on GO term	CC:1	TCF2	LFB3, VHNF1, HNF1beta, MODY5
HNF4A	hepatocyte nuclear factor 4, alpha	based on GO term	CC:1	TCF14, MODY, MODY1	NR2A1, HNF4
HNF4G	hepatocyte nuclear factor 4, gamma	based on GO term	CC:1		NR2A2
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	based on GO term	CC:1	HNRPAB	ABBP1, FLJ40338
HOMEZ	homeobox and leucine zipper encoding	based on GO term	CC:1	KIAA1443	
HOPX	HOP homeobox	based on GO term	CC:1		LAGY, HOP, OB1, NECC1, SMAP31
HOXA1	homeobox A1	based on GO term	CC:1	HOX1F, HOX1	
HOXA10	homeobox A10	based on GO term	CC:1	HOX1H, HOX1	
HOXA11	homeobox A11	based on GO term	CC:1	HOX1I, HOX1	
HOXA13	homeobox A13	based on GO term	CC:1	HOX1J, HOX1	
HOXA2	homeobox A2	based on GO term	CC:1	HOX1K	
HOXA3	homeobox A3	based on GO term	CC:1	HOX1E, HOX1	
HOXA4	homeobox A4	based on GO term	CC:1	HOX1D, HOX1	
HOXA5	homeobox A5	based on GO term	CC:1	HOX1C, HOX1	
HOXA6	homeobox A6	based on GO term	CC:1	HOX1B, HOX1	
HOXA7	homeobox A7	based on GO term	CC:1	HOX1A, HOX1	
HOXA9	homeobox A9	based on GO term	CC:1	HOX1G, HOX1	
HOXB1	homeobox B1	based on GO term	CC:1	HOX2, HOX2I	
HOXB13	homeobox B13	based on GO term	CC:1		
HOXB2	homeobox B2	based on GO term	CC:1	HOX2, HOX2H	
HOXB3	homeobox B3	based on GO term	CC:1	HOX2, HOX2G	
HOXB4	homeobox B4	based on GO term	CC:1	HOX2, HOX2F	
HOXB5	homeobox B5	based on GO term	CC:1	HOX2, HOX2A	
HOXB6	homeobox B6	based on GO term	CC:1	HOX2, HOX2B	
HOXB7	homeobox B7	based on GO term	CC:1	HOX2, HOX2C	
HOXB8	homeobox B8	based on GO term	CC:1	HOX2, HOX2D	
HOXB9	homeobox B9	based on GO term	CC:1	HOX2E, HOX2	
HOXC10	homeobox C10	based on GO term	CC:1	HOX3I	
HOXC11	homeobox C11	based on GO term	CC:1	HOX3H	
HOXC12	homeobox C12	based on GO term	CC:1	HOX3, HOX3F, HOC3F	
HOXC13	homeobox C13	based on GO term	CC:1	HOX3, HOX3G	
HOXC4	homeobox C4	based on GO term	CC:1	HOX3, HOX3E	
HOXC5	homeobox C5	based on GO term	CC:1	HOX3D, HOX3	
HOXC6	homeobox C6	based on GO term	CC:1	HOX3C, HOX3	
HOXC8	homeobox C8	based on GO term	CC:1	HOX3, HOX3A	
HOXC9	homeobox C9	based on GO term	CC:1	HOX3, HOX3B	
HOXD1	homeobox D1	based on GO term	CC:1	HOX4, HOX4G	
HOXD10	homeobox D10	based on GO term	CC:1	HOX4, HOX4D	
HOXD11	homeobox D11	based on GO term	CC:1	HOX4, HOX4F	
HOXD12	homeobox D12	based on GO term	CC:1	HOX4H	
HOXD13	homeobox D13	based on GO term	CC:1	HOX4I, SPD	
HOXD3	homeobox D3	based on GO term	CC:1	HOX4A, HOX4, HOX1D	
HOXD4	homeobox D4	based on GO term	CC:1	HOX4B, HOX4	
HOXD8	homeobox D8	based on GO term	CC:1	HOX4, HOX4E	
HOXD9	homeobox D9	based on GO term	CC:1	HOX4C, HOX4	
HR	hairless homolog (mouse)	based on GO term	CC:1	ALUNC	AU
HSF1	heat shock transcription factor 1	based on GO term	CC:1		HSTF1
HSF2	heat shock transcription factor 2	based on GO term	CC:1		
HSF4	heat shock transcription factor 4	based on GO term	CC:1	CTM	
HSF5	heat shock transcription factor family member 5	based on GO term	CC:1		FLJ40311
HSFX2	heat shock transcription factor family, X linked 2	based on GO term	CC:1		
HSFY2	heat shock transcription factor, Y linked 2	based on GO term	CC:1		FLJ25453
HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	based on GO term	CC:1		TIP30, CC3, FLJ26963, SDR44U1
HTATSF1	HIV-1 Tat specific factor 1	based on GO term	CC:1		TAT-SF1
IGHMBP2	immunoglobulin mu binding protein 2	based on GO term	CC:1		SMUBP2, CATF1, SMARD1, HCSA, HMN6
IKZF1	IKAROS family zinc finger 1 (Ikaros)	based on GO term	CC:1	ZNFN1A1	hIk-1, LyF-1, Hs.54452, IKAROS
IKZF3	IKAROS family zinc finger 3 (Aiolos)	based on GO term	CC:1	ZNFN1A3	Aiolos
IKZF4	IKAROS family zinc finger 4 (Eos)	based on GO term	CC:1	ZNFN1A4	Eos
ILF2	interleukin enhancer binding factor 2, 45kDa	based on GO term	CC:1		NF45
IRF1	interferon regulatory factor 1	based on GO term	CC:1		MAR
IRF2	interferon regulatory factor 2	based on GO term	CC:1		
IRF3	interferon regulatory factor 3	based on GO term	CC:1		
IRF4	interferon regulatory factor 4	based on GO term	CC:1	MUM1	LSIRF
IRF5	interferon regulatory factor 5	based on GO term	CC:1		
IRF6	interferon regulatory factor 6	based on GO term	CC:1	VWS, LPS	OFC6, VWS1
IRF7	interferon regulatory factor 7	based on GO term	CC:1		
IRF8	interferon regulatory factor 8	based on GO term	CC:1	ICSBP1	IRF-8, ICSBP
IRF9	interferon regulatory factor 9	based on GO term	CC:1	ISGF3G	
IRX1	iroquois homeobox 1	based on GO term	CC:1		IRX-5
IRX2	iroquois homeobox 2	based on GO term	CC:1		
IRX3	iroquois homeobox 3	based on GO term	CC:1		IRX-1
IRX4	iroquois homeobox 4	based on GO term	CC:1		
IRX5	iroquois homeobox 5	based on GO term	CC:1		IRX-2a
IRX6	iroquois homeobox 6	based on GO term	CC:1	IRX7	IRX-3
ISL1	ISL LIM homeobox 1	based on GO term	CC:1		Isl-1, ISLET1
ISL2	ISL LIM homeobox 2	based on GO term	CC:1		FLJ10160
ISX	intestine-specific homeobox	based on GO term	CC:1		RAXLX
JDP2	Jun dimerization protein 2	based on GO term	CC:1		JUNDM2
JUN	jun oncogene	based on GO term	CC:1		c-Jun, AP-1
JUNB	jun B proto-oncogene	based on GO term	CC:1		
JUND	jun D proto-oncogene	based on GO term	CC:1		AP-1
KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	based on GO term	CC:1		Kv12.1, elk3
KDM5A	lysine (K)-specific demethylase 5A	based on GO term	CC:1	RBBP2, JARID1A	
KDM5B	lysine (K)-specific demethylase 5B	based on GO term	CC:1	JARID1B	RBBP2H1A, PLU-1, CT31
KLF1	Kruppel-like factor 1 (erythroid)	based on GO term	CC:1		EKLF
KLF10	Kruppel-like factor 10	based on GO term	CC:1	TIEG	EGRA, TIEG1
KLF11	Kruppel-like factor 11	based on GO term	CC:1	TIEG2	Tieg3, MODY7
KLF12	Kruppel-like factor 12	based on GO term	CC:1		AP-2rep, HSPC122, AP2REP
KLF13	Kruppel-like factor 13	based on GO term	CC:1		RFLAT-1, BTEB3, NSLP1, FKLF-2
KLF15	Kruppel-like factor 15	based on GO term	CC:1		KKLF
KLF16	Kruppel-like factor 16	based on GO term	CC:1		NSLP2, BTEB4, DRRF
KLF17	Kruppel-like factor 17	based on GO term	CC:1	ZNF393	Zfp393, FLJ40160
KLF2	Kruppel-like factor 2 (lung)	based on GO term	CC:1		LKLF
KLF3	Kruppel-like factor 3 (basic)	based on GO term	CC:1		BKLF
KLF4	Kruppel-like factor 4 (gut)	based on GO term	CC:1		EZF, GKLF
KLF5	Kruppel-like factor 5 (intestinal)	based on GO term	CC:1	BTEB2	IKLF, CKLF
KLF6	Kruppel-like factor 6	based on GO term	CC:1	BCD1, ST12, COPEB	CPBP, GBF, Zf9, PAC1
KLF7	Kruppel-like factor 7 (ubiquitous)	based on GO term	CC:1		UKLF
KLF9	Kruppel-like factor 9	based on GO term	CC:1	BTEB1	
L3MBTL	l(3)mbt-like (Drosophila)	based on GO term	CC:1	NA	NA
L3MBTL4	l(3)mbt-like 4 (Drosophila)	based on GO term	CC:1		FLJ35936, HsT1031
LASS2	LAG1 homolog, ceramide synthase 2	based on GO term	CC:1	NA	NA
LASS3	LAG1 homolog, ceramide synthase 3	based on GO term	CC:1	NA	NA
LASS4	LAG1 homolog, ceramide synthase 4	based on GO term	CC:1	NA	NA
LASS5	LAG1 homolog, ceramide synthase 5	based on GO term	CC:1	NA	NA
LASS6	LAG1 homolog, ceramide synthase 6	based on GO term	CC:1	NA	NA
LBX1	ladybird homeobox 1	based on GO term	CC:1		LBX1H, HPX6
LBX2	ladybird homeobox 2	based on GO term	CC:1		
LCOR	ligand dependent nuclear receptor corepressor	based on GO term	CC:1		MLR2, FLJ38026, KIAA1795
LCORL	ligand dependent nuclear receptor corepressor-like	based on GO term	CC:1		MLR1, FLJ30696
LEF1	lymphoid enhancer-binding factor 1	based on GO term	CC:1		TCF1ALPHA, TCF10, TCF7L3
LEUTX	leucine twenty homeobox	based on GO term	CC:1		
LHX1	LIM homeobox 1	based on GO term	CC:1		LIM-1, LIM1
LHX2	LIM homeobox 2	based on GO term	CC:1		LH-2, hLhx2
LHX3	LIM homeobox 3	based on GO term	CC:1		
LHX4	LIM homeobox 4	based on GO term	CC:1		Gsh4
LHX5	LIM homeobox 5	based on GO term	CC:1		
LHX6	LIM homeobox 6	based on GO term	CC:1		LHX6.1
LHX8	LIM homeobox 8	based on GO term	CC:1		Lhx7
LHX9	LIM homeobox 9	based on GO term	CC:1		
LITAF	lipopolysaccharide-induced TNF factor	based on GO term	CC:1		PIG7, SIMPLE, FLJ38636, TP53I7
LMO1	LIM domain only 1 (rhombotin 1)	based on GO term	CC:1	RBTN1	TTG1, RHOM1
LMO4	LIM domain only 4	based on GO term	CC:1		
LMX1A	LIM homeobox transcription factor 1, alpha	based on GO term	CC:1	LMX1	LMX1.1
LMX1B	LIM homeobox transcription factor 1, beta	based on GO term	CC:1	NPS1	
LOC360030	homeobox C14	based on GO term	CC:1	NA	NA
LOC391742	TBP-associated factor 11 pseudogene	based on GO term	CC:1	NA	NA
LZTR1	leucine-zipper-like transcription regulator 1	based on GO term	CC:1		LZTR-1
LZTS1	leucine zipper, putative tumor suppressor 1	based on GO term	CC:1		FEZ1
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	based on GO term	CC:1		c-MAF
MAFA	v-maf musculoaponeurotic fibrosarcoma oncogene homolog A (avian)	based on GO term	CC:1		RIPE3b1, hMafA
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	based on GO term	CC:1	KRML	
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	based on GO term	CC:1		hMafF
MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	based on GO term	CC:1		MGC13090, MGC20149
MAFK	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	based on GO term	CC:1		P18, NFE2U
MAX	MYC associated factor X	based on GO term	CC:1		bHLHd4, bHLHd5, bHLHd6, bHLHd7, bHLHd8
MBD1	methyl-CpG binding domain protein 1	based on GO term	CC:1		PCM1, CXXC3
MECOM	MDS1 and EVI1 complex locus	based on GO term	CC:1	MDS1, EVI1	MDS1-EVI1, PRDM3
MED21	mediator complex subunit 21	based on GO term	CC:1	SURB7	SRB7
MED6	mediator complex subunit 6	based on GO term	CC:1		NY-REN-28
MEF2A	myocyte enhancer factor 2A	based on GO term	CC:1		RSRFC4, RSRFC9
MEF2B	myocyte enhancer factor 2B	based on GO term	CC:1		RSRFR2
MEF2C	myocyte enhancer factor 2C	based on GO term	CC:1		
MEF2D	myocyte enhancer factor 2D	based on GO term	CC:1		
MEIS1	Meis homeobox 1	based on GO term	CC:1		
MEIS2	Meis homeobox 2	based on GO term	CC:1		MRG1, HsT18361
MEIS3	Meis homeobox 3	based on GO term	CC:1		MRG2, DKFZp547H236
MEIS3P1	Meis homeobox 3 pseudogene 1	based on GO term	CC:1	MEIS3, MEIS4	MRG2
MEIS3P2	Meis homeobox 3 pseudogene 2	based on GO term	CC:1		
MEOX1	mesenchyme homeobox 1	based on GO term	CC:1		MOX1
MEOX2	mesenchyme homeobox 2	based on GO term	CC:1	GAX	MOX2
MESP1	mesoderm posterior 1 homolog (mouse)	based on GO term	CC:1		MGC10676, bHLHc5
MESP2	mesoderm posterior 2 homolog (mouse)	based on GO term	CC:1		SCDO2, bHLHc6
MGA	MAX gene associated	based on GO term	CC:1		KIAA0518, MAD5, MXD5, FLJ12634
MITF	microphthalmia-associated transcription factor	based on GO term	CC:1	WS2A, WS2	MI, bHLHe32
MIXL1	Mix1 homeobox-like 1 (Xenopus laevis)	based on GO term	CC:1		MILD1, MIXL
MKX	mohawk homeobox	based on GO term	CC:1	C10orf48, IRXL1	MGC39616
MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	based on GO term	CC:1		TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A
MLL4	myeloid/lymphoid or mixed-lineage leukemia 4	based on GO term	CC:1	NA	NA
MLLT1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1	based on GO term	CC:1		ENL, LTG19, YEATS1
MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	based on GO term	CC:1		AF10
MLX	MAX-like protein X	based on GO term	CC:1	TCFL4	MAD7, MXD7, bHLHd13
MLXIPL	MLX interacting protein-like	based on GO term	CC:1	WBSCR14	WS-bHLH, MIO, CHREBP, MONDOB, bHLHd14
MNT	MAX binding protein	based on GO term	CC:1		ROX, MXD6, MAD6, bHLHd3
MNX1	motor neuron and pancreas homeobox 1	based on GO term	CC:1	HLXB9	HB9, HOXHB9, SCRA1
MRPL28	mitochondrial ribosomal protein L28	based on GO term	CC:1	MAAT1	p15
MSC	musculin (activated B-cell factor-1)	based on GO term	CC:1		ABF-1, bHLHa22
MSL3	male-specific lethal 3 homolog (Drosophila)	based on GO term	CC:1	MSL3L1	
MSRB2	methionine sulfoxide reductase B2	based on GO term	CC:1	MSRB	PILB, CGI-131, CBS1, CBS-1
MSX1	msh homeobox 1	based on GO term	CC:1	HOX7	HYD1, OFC5
MSX2	msh homeobox 2	based on GO term	CC:1	PFM1	CRS2, FPP, HOX8, MSH, PFM
MTA1	metastasis associated 1	based on GO term	CC:1		
MTA2	metastasis associated 1 family, member 2	based on GO term	CC:1	MTA1L1	MTA1-L1
MTA3	metastasis associated 1 family, member 3	based on GO term	CC:1		KIAA1266
MTF1	metal-regulatory transcription factor 1	based on GO term	CC:1		
MXD1	MAX dimerization protein 1	based on GO term	CC:1	MAD	MAD1, bHLHc58
MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	based on GO term	CC:1		BMYB, B-MYB
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	based on GO term	CC:1		c-Myc, bHLHe39
MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	based on GO term	CC:1	MYCL	LMYC, bHLHe38
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	based on GO term	CC:1	NMYC	bHLHe37, N-myc
MYF5	myogenic factor 5	based on GO term	CC:1		bHLHc2
MYF6	myogenic factor 6 (herculin)	based on GO term	CC:1		MRF4, bHLHc4
MYNN	myoneurin	based on GO term	CC:1		SBBIZ1, ZBTB31, ZNF902
MYOD1	myogenic differentiation 1	based on GO term	CC:1	MYF3	PUM, MYOD, bHLHc1
MYOG	myogenin (myogenic factor 4)	based on GO term	CC:1	MYF4	bHLHc3
MYPOP	Myb-related transcription factor, partner of profilin	based on GO term	CC:1		P42pop
MYST2	MYST histone acetyltransferase 2	based on GO term	CC:1	NA	NA
MYT1	myelin transcription factor 1	based on GO term	CC:1	PLPB1	MTF1, MYTI
MYT1L	myelin transcription factor 1-like	based on GO term	CC:1		KIAA1106, NZF1
MZF1	myeloid zinc finger 1	based on GO term	CC:1	ZNF42	MZF1B, ZSCAN6, MZF-1, Zfp98
NANOG	Nanog homeobox	based on GO term	CC:1		FLJ12581, FLJ40451
NANOGP1	Nanog homeobox pseudogene 1	based on GO term	CC:1		NANOG2
NANOGP8	Nanog homeobox pseudogene 8	based on GO term	CC:1		
NEUROD1	neurogenic differentiation 1	based on GO term	CC:1	NEUROD	BETA2, BHF-1, NeuroD, bHLHa3, MODY6
NEUROD2	neurogenic differentiation 2	based on GO term	CC:1		NDRF, bHLHa1
NEUROG1	neurogenin 1	based on GO term	CC:1	NEUROD3	AKA, Math4C, ngn1, bHLHa6
NEUROG3	neurogenin 3	based on GO term	CC:1		Atoh5, Math4B, ngn3, bHLHa7
NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	based on GO term	CC:1		TONEBP, KIAA0827, NFATL1, OREBP, NFATZ, NF-AT5
NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	based on GO term	CC:1		NF-ATC, NFATc, NFAT2
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	based on GO term	CC:1		NF-ATP, NFATp, NFAT1
NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	based on GO term	CC:1		NFAT4, NFATX
NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	based on GO term	CC:1		NFAT3
NFE2	nuclear factor (erythroid-derived 2), 45kDa	based on GO term	CC:1		NF-E2
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	based on GO term	CC:1	TCF11	NRF1, LCR-F1, FLJ00380
NFE2L2	nuclear factor (erythroid-derived 2)-like 2	based on GO term	CC:1		NRF2
NFE2L3	nuclear factor (erythroid-derived 2)-like 3	based on GO term	CC:1		Nrf3
NFIA	nuclear factor I/A	based on GO term	CC:1		NFI-L, KIAA1439
NFIB	nuclear factor I/B	based on GO term	CC:1		NFI-RED, NFIB2, NFIB3
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	based on GO term	CC:1	NFI	CTF, NF-I, CTF5
NFIL3	nuclear factor, interleukin 3 regulated	based on GO term	CC:1	IL3BP1	E4BP4, NFIL3A, NF-IL3A
NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	based on GO term	CC:1		NF1A
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	based on GO term	CC:1		KBF1, p105, NFKB-p50, p50, NF-kappaB, NFkappaB
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	based on GO term	CC:1		LYT-10, p52
NFX1	nuclear transcription factor, X-box binding 1	based on GO term	CC:1		NFX2, MGC20369
NFXL1	nuclear transcription factor, X-box binding-like 1	based on GO term	CC:1		HOZFP
NFYA	nuclear transcription factor Y, alpha	based on GO term	CC:1		HAP2, CBF-B, NF-YA
NFYB	nuclear transcription factor Y, beta	based on GO term	CC:1		CBF-A, HAP3, NF-YB
NFYC	nuclear transcription factor Y, gamma	based on GO term	CC:1		CBF-C, NF-YC
NKX1-1	NK1 homeobox 1	based on GO term	CC:1		HSPX153, SAX2
NKX1-2	NK1 homeobox 2	based on GO term	CC:1	C10orf121	bB238F13.2
NKX2-1	NK2 homeobox 1	based on GO term	CC:1	NKX2A, BCH, TITF1	TTF-1, TTF1
NKX2-2	NK2 homeobox 2	based on GO term	CC:1	NKX2B	NKX2.2
NKX2-3	NK2 transcription factor related, locus 3 (Drosophila)	based on GO term	CC:1	NKX2C	NKX2.3, CSX3, NKX4-3
NKX2-4	NK2 homeobox 4	based on GO term	CC:1	NKX2D	NKX2.4
NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	based on GO term	CC:1	CSX, NKX2E	CSX1, NKX2.5, NKX4-1
NKX2-6	NK2 transcription factor related, locus 6 (Drosophila)	based on GO term	CC:1		CSX2, NKX4-2
NKX2-8	NK2 homeobox 8	based on GO term	CC:1	NKX2H	NKX2.8, Nkx2-9
NKX3-1	NK3 homeobox 1	based on GO term	CC:1	NKX3A	NKX3.1, BAPX2
NKX3-2	NK3 homeobox 2	based on GO term	CC:1	BAPX1	NKX3B, NKX3.2
NKX6-1	NK6 homeobox 1	based on GO term	CC:1	NKX6A	Nkx6.1
NKX6-2	NK6 homeobox 2	based on GO term	CC:1		NKX6B, GTX, NKX6.1
NKX6-3	NK6 homeobox 3	based on GO term	CC:1		FLJ25169
NME1-NME2	NME1-NME2 readthrough	based on GO term	CC:1		NM23-LV, NMELV
NOBOX	NOBOX oogenesis homeobox	based on GO term	CC:1		OG2, Og2x
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	based on GO term	CC:1	TAN1	
NOTO	notochord homeobox	based on GO term	CC:1		
NPAS1	neuronal PAS domain protein 1	based on GO term	CC:1		MOP5, PASD5, bHLHe11
NPAS2	neuronal PAS domain protein 2	based on GO term	CC:1		MOP4, PASD4, bHLHe9
NPAT	nuclear protein, ataxia-telangiectasia locus	based on GO term	CC:1		E14
NR0B1	nuclear receptor subfamily 0, group B, member 1	based on GO term	CC:1	AHC, DSS	DAX1, AHCH
NR0B2	nuclear receptor subfamily 0, group B, member 2	based on GO term	CC:1		SHP
NR1D1	nuclear receptor subfamily 1, group D, member 1	based on GO term	CC:1	THRAL	ear-1, hRev, Rev-ErbAalpha, THRA1
NR1D2	nuclear receptor subfamily 1, group D, member 2	based on GO term	CC:1		BD73, RVR, EAR-1r, HZF2, Hs.37288
NR1H2	nuclear receptor subfamily 1, group H, member 2	based on GO term	CC:1	UNR	NER, NER-I, RIP15, LXR-b
NR1H3	nuclear receptor subfamily 1, group H, member 3	based on GO term	CC:1		LXR-a, RLD-1
NR1H4	nuclear receptor subfamily 1, group H, member 4	based on GO term	CC:1		FXR, RIP14, HRR1, HRR-1
NR1I2	nuclear receptor subfamily 1, group I, member 2	based on GO term	CC:1		ONR1, PXR, BXR, SXR, PAR2
NR1I3	nuclear receptor subfamily 1, group I, member 3	based on GO term	CC:1		MB67, CAR1, CAR
NR2C1	nuclear receptor subfamily 2, group C, member 1	based on GO term	CC:1	TR2	TR2-11
NR2C2	nuclear receptor subfamily 2, group C, member 2	based on GO term	CC:1	TR4	TAK1, TR2R1, hTAK1
NR2E1	nuclear receptor subfamily 2, group E, member 1	based on GO term	CC:1	TLX	TLL, XTLL
NR2E3	nuclear receptor subfamily 2, group E, member 3	based on GO term	CC:1		PNR, rd7, RP37
NR2F1	nuclear receptor subfamily 2, group F, member 1	based on GO term	CC:1	ERBAL3, TFCOUP1	EAR-3, COUP-TFI, TCFCOUP1, SVP44
NR2F2	nuclear receptor subfamily 2, group F, member 2	based on GO term	CC:1	ARP1, TFCOUP2	COUP-TFII, COUPTFB, SVP40, NF-E3
NR2F6	nuclear receptor subfamily 2, group F, member 6	based on GO term	CC:1	ERBAL2	EAR-2
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	based on GO term	CC:1	GRL	GR
NR3C2	nuclear receptor subfamily 3, group C, member 2	based on GO term	CC:1	MLR	MR
NR4A1	nuclear receptor subfamily 4, group A, member 1	based on GO term	CC:1	HMR, GFRP1	TR3, N10, NAK-1, NGFIB, NUR77
NR4A2	nuclear receptor subfamily 4, group A, member 2	based on GO term	CC:1	NURR1	TINUR, NOT, RNR1, HZF-3
NR4A3	nuclear receptor subfamily 4, group A, member 3	based on GO term	CC:1		CSMF, CHN, NOR1, MINOR
NR5A1	nuclear receptor subfamily 5, group A, member 1	based on GO term	CC:1	FTZF1	FTZ1, SF-1, ELP, AD4BP
NR5A2	nuclear receptor subfamily 5, group A, member 2	based on GO term	CC:1	FTF	FTZ-F1beta, hB1F, LRH-1, FTZ-F1, hB1F-2, B1F2
NR6A1	nuclear receptor subfamily 6, group A, member 1	based on GO term	CC:1	GCNF	GCNF1, RTR
NRK	Nik related kinase	based on GO term	CC:1		DKFZp686A17109
NRL	neural retina leucine zipper	based on GO term	CC:1		D14S46E, RP27, NRL-MAF
OLIG2	oligodendrocyte lineage transcription factor 2	based on GO term	CC:1	PRKCBP2, BHLHB1	RACK17, OLIGO2, bHLHe19
ONECUT1	one cut homeobox 1	based on GO term	CC:1	HNF6, HNF6A	HNF-6
ONECUT2	one cut homeobox 2	based on GO term	CC:1		OC-2
ONECUT3	one cut homeobox 3	based on GO term	CC:1		
OTP	orthopedia homeobox	based on GO term	CC:1		
OTX1	orthodenticle homeobox 1	based on GO term	CC:1		
OTX2	orthodenticle homeobox 2	based on GO term	CC:1		
PA2G4	proliferation-associated 2G4, 38kDa	based on GO term	CC:1		
PAX3	paired box 3	based on GO term	CC:1	WS1	HUP2
PAX4	paired box 4	based on GO term	CC:1		MODY9
PAX5	paired box 5	based on GO term	CC:1		BSAP
PAX6	paired box 6	based on GO term	CC:1	AN2	D11S812E, AN, WAGR
PAX7	paired box 7	based on GO term	CC:1		Hup1
PAX8	paired box 8	based on GO term	CC:1		
PBX1	pre-B-cell leukemia homeobox 1	based on GO term	CC:1		
PBX2	pre-B-cell leukemia homeobox 2	based on GO term	CC:1		G17, HOX12, PBX2MHC
PBX3	pre-B-cell leukemia homeobox 3	based on GO term	CC:1		
PBX4	pre-B-cell leukemia homeobox 4	based on GO term	CC:1		
PCGF2	polycomb group ring finger 2	based on GO term	CC:1	ZNF144, RNF110	MEL-18
PCGF6	polycomb group ring finger 6	based on GO term	CC:1	RNF134	MBLR
PDX1	pancreatic and duodenal homeobox 1	based on GO term	CC:1	IPF1	IDX-1, STF-1, PDX-1, MODY4
PEG3	paternally expressed 3	based on GO term	CC:1		KIAA0287, ZSCAN24, ZNF904
PFDN1	prefoldin subunit 1	based on GO term	CC:1		PFD1
PGBD1	piggyBac transposable element derived 1	based on GO term	CC:1		HUCEP-4, dJ874C20.4, SCAND4
PGR	progesterone receptor	based on GO term	CC:1		PR, NR3C3
PHF1	PHD finger protein 1	based on GO term	CC:1		MTF2L2
PHF5A	PHD finger protein 5A	based on GO term	CC:1		MGC1346, SF3b14b, INI, bK223H9.2, Rds3, SAP14b
PHOX2A	paired-like homeobox 2a	based on GO term	CC:1	ARIX, FEOM2	PMX2A, CFEOM2
PHOX2B	paired-like homeobox 2b	based on GO term	CC:1	PMX2B	Phox2b, NBPhox
PHTF1	putative homeodomain transcription factor 1	based on GO term	CC:1	PHTF	
PITX1	paired-like homeodomain 1	based on GO term	CC:1	BFT	PTX1, POTX
PITX2	paired-like homeodomain 2	based on GO term	CC:1	IRID2, IHG2, RIEG, RIEG1, RGS	IGDS, RS, Brx1, Otlx2, ARP1
PITX3	paired-like homeodomain 3	based on GO term	CC:1		
PKNOX1	PBX/knotted 1 homeobox 1	based on GO term	CC:1		PREP1
PKNOX2	PBX/knotted 1 homeobox 2	based on GO term	CC:1		
PLAG1	pleiomorphic adenoma gene 1	based on GO term	CC:1		ZNF912
PLAGL2	pleiomorphic adenoma gene-like 2	based on GO term	CC:1		ZNF900
POU1F1	POU class 1 homeobox 1	based on GO term	CC:1	PIT1	GHF-1, POU1F1a
POU2F1	POU class 2 homeobox 1	based on GO term	CC:1	OTF1	OCT1
POU2F2	POU class 2 homeobox 2	based on GO term	CC:1	OTF2	OCT2
