#symbol	mEpi_Sorted_d0	mEpi_d1	mEpi_d2	mEpi_d3	mEpi_d4	mEpi_d5	mEpi_d6	mEpi_d7	mEpi_d8	mEpi_d10	mEpi_d12	mEpi_d14	mEpi_d16	mEpi_d18	mEpi_d20	mEpi_d21
Dynlrb1	145.47	104.62	128.63	124.42	156.86	192.69	216.29	161.97	241.56	328.98	390.28	291.82	307	291.05	305.54	291.74
Dynlrb2	1.75	0	0	0	0	0	0	0	0	5.29	0	15.11	19.03	18.58	65.02	53.96
Dynlt1a	18.69	60.7	23.57	0	6.33	17.22	42.89	58.05	102.79	38.02	38.7	138.71	20.01	7.37	56.45	47.05
Dynlt1b	44.13	27.21	10.91	77.24	102.69	83.95	16.24	52.41	199.04	93.04	88.29	76.71	151.08	108.32	64.96	144.87
Dynlt1c	35.8	9.07	19.32	31.06	12.08	18.67	18.86	36.61	28.99	39.13	54	32	16.28	25.32	20.4	13.81
Dynlt1f	53.07	40.29	69.05	41.81	25.62	75.02	140.3	84.75	113.1	86.11	49.81	57.13	66.57	70.45	79.94	39.96
Dynlt3	34.23	36.61	42.33	58.84	32.35	33.52	29.42	43.96	97.59	80.6	126.58	163.75	163.73	187.08	207.28	178.95
Dyrk1a	72.59	85.1	84.5	78.56	100.8	98.96	118.61	116.46	88.65	113.37	123.49	97.1	98.51	93.58	70.14	76.99
Dyrk1b	9.96	8.44	9.31	12.8	18.42	19.04	24.28	39.38	17.73	9.39	14.11	7.87	7.63	3.08	6.05	19.93
Dyrk2	15.28	24.3	27.2	27.31	40.32	28.3	35.83	30.89	15.61	33.66	42.74	26.33	26.93	26.57	27.49	21.7
Dyrk3	12.93	13.83	18.57	26.01	20.13	18.54	23.03	25.41	38.12	10.97	13.01	9.75	13.65	8.99	9.63	14.43
Dyrk4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0	2.74
Dysf	6.32	7.95	4.75	2.01	2.07	1	0.75	0.57	0.83	0.75	1.12	4.08	2.86	3.83	6.6	9.67
Dytn	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0
Dyx1c1	0	0.45	0.45	2.8	4.04	0.97	0.64	1.79	0	2.56	0.93	4.49	10.69	12.7	9.66	12.83
Dzank1	0.98	0.83	0.48	0.17	1.88	1.92	7.13	8.5	9.04	39.52	48.76	47.86	54.07	80.82	70.09	92.05
Dzip1	10.23	10.94	18.47	22.93	33.34	50.1	49.35	76.29	57.05	142.11	193.2	177.86	149.76	168.85	113.49	134.56
Dzip1l	23.55	26.16	35.75	43.57	35.53	29.02	13.49	21.77	9.17	15.77	15.34	10.82	14.88	24.08	13.85	15.45
Dzip3	37.99	30.09	41.8	58.01	89.62	72.87	90.59	97.61	102.44	114.11	130.52	116.43	97.99	89.29	60.52	68.38
E030002O03Rik	0	0	0	0	0	0	0	0	0	0	0	1.27	0	0	0	0
E030018B13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E030019B06Rik	0	0	0	0	0	0	0	0	0	0	0	6.08	4.86	0.53	5.34	10.54
E030030I06Rik	32.46	7.27	6.13	18.88	5.79	11.53	34.37	22.54	14.96	11.73	19.43	23.59	3.88	9.38	3.2	0.99
E130012A19Rik	15.47	23.86	38.45	35.22	21.11	11.14	19.43	10.28	12.91	1.09	5.15	6.2	1.3	1.53	0	1.33
E130308A19Rik	20.86	22.41	22.05	22.08	23.61	28.34	40.89	42.18	34.57	37.37	24.17	20.66	17.96	13.65	11.14	13.11
E130309D02Rik	76.93	74.99	94.34	83.84	110.32	94.73	130.72	114.35	50.85	63.99	30.5	32.66	27.42	24.5	26.6	23.79
E130309D14Rik	0.21	3.56	0.22	0	0.46	1.67	0.31	0.48	2.21	3.76	3.72	3.59	3.26	2.43	1.65	5.38
E130309F12Rik	0.42	0.9	2.03	4.53	2.11	8.72	12.68	30.2	54.75	90.5	83.92	71.04	53.53	44.13	27.43	29.92
E130311K13Rik	5.6	2.19	0	3.58	5.53	2.44	0	11.24	0.69	0.77	5.51	13.25	10.49	16.36	18.31	15.09
E230008N13Rik	0	0.18	0	0.22	0	0	0	0	0	0	0	2.91	1.33	3.99	5.42	7.86
E230019M04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	11.81	9.59	6.86
E230025N22Rik	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0
E2f1	117.15	54.23	80.02	119.59	113.74	129.8	116.15	124.71	70.4	34.87	30.38	50.11	22	13.25	18.17	18.67
E2f2	4.21	2.07	1.88	7.53	10.49	8.25	9.48	7.22	11.43	3.18	2.83	5.14	0.42	0.74	3.02	0.86
E2f3	64.05	76.83	76.56	74.49	82.75	67.97	81.2	53.39	21.86	23.47	26.27	25.1	21.56	18.76	13.82	21.34
E2f4	79.91	98.51	96.16	87.96	54.47	56.42	54.24	39.9	22.35	34.87	33.1	22.47	15.22	16.94	6.68	18.12
E2f5	75.85	73.43	116.41	145.47	106.28	59.46	103.68	50.48	71.43	47.77	24.04	40.55	20.26	37.14	17.16	16.55
E2f6	69.4	64.26	81.9	75.46	85.61	78	105.64	93.54	101.83	54.66	45.08	54.76	43.72	32.17	42.98	29.75
E2f7	17.62	22.58	28.72	21.79	27.24	21.95	16.4	11.11	0.81	3.44	3.8	3.67	4.03	3.38	0.8	0.75
E2f8	46.36	41.76	32.31	42.38	51.72	43.22	50.1	21.41	11.69	12.59	8.07	8.56	5.44	3.65	3.59	0.83
E330009J07Rik	21.93	11.96	7.35	20.75	21.42	8.87	16.77	11.79	9.14	25.28	23.07	16.3	11.93	21.42	9.11	17.99
E330014E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E330017A01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E330021D16Rik	0	2.43	0	1.02	1.68	0	0	0	0	0	8.13	1.31	0	1.46	2.01	1.18
E330034G19Rik	0.56	2.41	0	1.51	3.12	0.65	2.54	0	0	0	0	0	2.04	0	0.75	0
E430018J23Rik	0.41	5.39	1.16	1.09	1.69	2.06	1.22	9.28	5.39	2.65	3.21	1.4	2.94	0.86	7.95	3
E430025E21Rik	57.2	43.29	69.28	51.5	54.86	48.31	47.69	46.97	60.9	48.26	35.46	37.38	34.37	29.33	17.23	40.92
E4f1	4.31	3.15	9.37	5.35	4.71	6.38	9.86	11.64	8.67	9.86	7.23	10.55	7.19	5.19	9.52	4.9
Eaf1	56.24	84.99	70.79	55.5	38.48	34.51	29.59	23.96	13.72	13.92	18.99	16.48	10.19	10.44	10.4	16.02
Eaf2	7.61	2.86	9.59	24.13	5.04	2.79	10.04	15.56	1.9	7.4	25.55	29.57	3.77	3.78	5.84	10.9
Eapp	93.25	45.13	51.24	39.82	55.84	62.38	75.58	86.28	79.41	79.74	89.54	77.48	56.39	71.93	61.76	52.05
Ear1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ear6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ears2	18.01	17.95	13.56	5.49	15.41	27.22	9.82	13.1	0.54	15.43	5.86	10.58	9.38	6.51	0.54	7.56
Ebag9	50.08	46.65	52.36	44.04	64.37	38.28	57.34	62.78	77.26	38.97	43.34	63.12	65.59	43.94	52.77	43.75
Ebf1	3.65	3.13	1.04	2.94	29.66	46.92	99.36	118.93	71.5	68.42	41.82	10.08	14.39	10.84	7.74	4.2
Ebf2	3.44	0.41	0.82	1.23	24.76	44.4	86.89	95.2	65.55	40.14	15.43	9.26	4.38	5.59	1.69	1.38
Ebf3	3.41	2.73	2.36	3.65	55.04	112.01	186.09	219.72	134.34	237.92	169.35	57.06	42.63	52.19	23.89	33.1
Ebf4	5.32	3.01	4.34	3.77	5.19	5.74	2.35	9	9.97	22.17	8.95	17.79	13.58	11.93	12.01	9.24
Ebi3	0	0	0	0	0	0	0	0.83	0	4.36	0	1.24	3.48	8.42	0	0
Ebna1bp2	75.9	78.11	73.01	41.64	46.17	52.04	28.33	36.41	19.85	32.3	19.67	28.44	27.88	33.16	21.28	22.9
Ebp	18.3	17.51	15.95	11.62	11.73	10.49	16.61	12.66	7.04	7.99	16.36	17.43	16.84	14.8	20.4	30.82
Ebpl	12.9	6.04	9.91	11.89	8.03	8.78	13.91	13.36	8.57	13.37	7.21	22.93	10.21	12.82	8.54	23.32
Ecd	43.94	57.02	49.44	57.15	43.42	39.19	39.05	40.65	42.66	35.93	38.75	36.05	29.18	21.75	19.68	26.29
Ece1	37.02	41.24	91.81	67.5	64.6	60.44	31.81	29.7	17	38.92	41.03	39.95	45.22	42.05	51.49	54.05
Ece2	24.5	20.47	13.31	22.54	9.52	9.27	19.89	17.89	4.19	6	6.23	6.87	12.12	18.15	9.31	5.61
Ecel1	0	0	0.33	0	4.12	9.24	19.87	17.77	12.35	24.76	19.4	9.08	12.33	14.95	21.36	17.55
Ech1	6.66	12.11	17.79	21.43	39.06	14.51	19.97	18.27	7.08	17.07	23.82	48.21	50.59	69.15	80.24	84.42
Echdc1	21.82	24.43	64.59	59.72	61.88	42.93	51.18	37.73	47.51	48.98	56.26	54.2	78.98	83.2	56.27	87.57
Echdc2	14.19	17.94	0.69	2.59	7.85	0.74	1.93	2.21	9.43	0	2.31	4.45	17.12	1.37	4.27	9.53
Echdc3	0.91	0	1.45	2.43	0	1.56	0	1.04	0	0	0	0.78	1.64	0.96	3.6	5.58
Echs1	52.91	95.28	73.84	94.83	109.36	102.15	101.21	95.03	159.94	67.56	110.09	113.54	113.94	102.42	85.08	78.42
Eci1	25.37	21.8	4.6	13.09	31.88	25.89	19.93	19.06	18.58	16.53	0	17.66	31.08	34.96	63.11	56.65
Eci2	33.35	18.31	29.89	27.95	58.9	50.43	53.83	64.15	112.15	72.13	33.04	57.65	79.93	54.78	100.92	102.52
Eci3	0	0	0	0	0	0	0	2.26	0	0	0	0	0.82	0	0	0
Ecm1	5.74	4.73	8.48	4.73	2.45	7.11	0	1.01	0	0.67	0	3.05	6.38	12.16	9.35	31.57
Ecm2	0	0.27	2.78	0.56	0	1.92	2.86	3.15	0	8.91	14.61	18.54	16.29	14.3	32.83	29.95
Ecscr	4.63	19.49	4.87	2.04	2.52	2.61	0	0	0	0	0	1.31	4.58	2.41	0	7.48
Ecsit	27.05	23.12	15.55	28.26	31.67	33.96	34.53	37.86	42.67	35.57	24.24	20.76	25.44	36.7	19.27	30.89
Ect2	107.01	128.22	138.36	179.42	153.41	120.77	124.58	83.87	55.36	22.46	13.45	19.09	17.14	16.17	7.67	6.17
Ect2l	0	0	0.31	0	0	0	0	0	0	0	0	0	2.08	0.61	0.38	2.13
Eda	1.18	2.17	3.25	5.46	6.74	10.86	1.27	1.35	1.35	9.18	8.17	14.88	9.59	5.92	3.36	8.54
Eda2r	8.58	40.07	31.24	33.56	41.66	67.45	8.4	9.2	13.26	3.96	7.51	14.79	16.26	15.03	17.85	20.04
Edar	0	0	0	0	0	0	0	0.26	0	0.35	0	0.39	0.55	0.24	0	0
Edaradd	0.1	0.44	0.33	0.12	1.36	1.64	0.61	0.82	0.14	1.24	1.28	0.53	0.37	0.33	0.14	0
Edc3	12.96	13.08	15.87	15.23	16.6	16.2	14.41	18.31	16.25	14.93	13.02	11.55	7.2	6.94	5.4	7.53
Edc4	41.36	36.21	32.34	30.02	38.46	35.96	44.32	34.8	27.6	25.92	22.1	15.44	22.25	23.21	16.84	20.94
Eddm3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edem1	47.24	37.41	53.51	43.37	25.44	25.38	18.09	17.68	16.4	9.84	13.96	10.52	8.73	9.47	7.89	6.64
Edem2	21.55	16.02	30.44	26.44	21.02	16.33	30.13	32.15	26.2	28.64	31.36	31.48	34.36	34.06	33.37	41.81
Edem3	33.96	40.23	40.72	31.54	43.3	47.89	54.71	54.49	52.3	70.17	77.17	64.4	61.74	54.39	44.97	54.81
Edf1	215.81	239.7	211.57	179.65	255.94	227.07	177.84	208.72	198.48	209.17	190.88	273.89	327.36	307.87	309.32	385.33
Edil3	1.25	2.07	1.02	1.95	8.39	18.11	49.25	40.57	60.42	97.5	119.43	96.5	89.86	99.71	98.26	87.74
Edn1	6.06	7.63	17.15	11.48	14.22	11.45	1.07	0	12.8	5.38	1.91	1.23	5.16	2.65	0.47	3.95
Edn2	0	0	0	0	0	0	0	0	0	0	0	0	3.47	0	0	0
Edn3	0.8	0.57	0	1.79	0.59	2.15	0	0.31	0	0	1.44	3.69	6.45	2.27	5.67	5.6
Ednra	0.65	2.46	16.45	5.55	6.87	4.22	1.38	4.99	0	20.79	21.37	14.26	19.96	14.61	6.09	19.52
Ednrb	3.44	0.23	55.61	33.4	294.16	278.77	164.44	150.98	188.16	194.12	211.06	327.14	358.64	359.74	400.48	520.9
Eea1	16.63	20.51	29.83	33.67	23.34	28.06	30.51	34.52	23.36	36.9	50.41	36.89	31.95	44.24	41.37	44.86
Eed	90	103.23	81.55	94.06	83.49	72.54	86.97	65.82	50.1	32.4	31.91	17.48	22.98	29.22	23.63	14.97
Eef1a1	6924.44	8509.68	8473.35	12024.31	8464.67	7875.79	8440.77	7555.31	10982.61	5445.42	5382.93	5161.04	5508.5	4361.38	4674.92	4443.29
Eef1a2	0	2.58	0	0	2.67	0.92	13.86	37.66	40.03	97.53	106.36	108.73	147.78	138.38	125.03	126.61
Eef1b2	912.91	1016.91	1002.98	1116.81	1062.19	885.19	729.23	691.27	586.13	421.71	372.62	491.13	525.39	466.28	460.14	484.35
Eef1d	397.57	499.43	322.72	284.84	306.28	263.7	164.7	122.02	97.22	95.98	70.16	103.52	127.23	120.89	103.76	108.99
Eef1e1	45.98	99.24	79.83	74.86	52.71	45.19	57.88	60.06	149.44	66.85	92.52	114.64	78.23	87.02	106.55	44.47
Eef1g	1366.57	1453.92	1308.68	1568.64	1384.04	1252.37	970.77	914.65	946.52	636.13	592.96	629.66	683.5	581.1	607.54	590.23
Eef2	2019.42	1932.64	1921.95	2079.67	1888.89	1811.7	1788.82	1693.23	1272.25	1365.64	1344.1	1117.12	1147.75	1084.85	1004.7	1013.52
Eef2k	6.62	4.7	7.92	5.15	10.62	15.18	12.41	12.7	10.94	26.07	29.6	23.93	27.32	26.36	36.81	36.66
Eefsec	12.16	13.67	9.66	7.94	7.59	11.44	2.81	16.03	10.77	7.99	7.25	10.75	5.64	6.28	9.91	8.06
Eepd1	0.31	0.33	2.62	4.93	11.2	1.76	1.84	3.51	0	3.24	6.58	12.16	14.79	13.32	5.68	11.32
Efcab1	2.01	0	2.86	7.19	2.23	3.46	14.57	12.64	42.73	56.58	50.94	54.87	39.2	51.49	45.26	44.55
Efcab10	0	0	2.72	0	0	0	5.72	0	0	0	0	10.96	6.13	10.78	6.73	23.47
Efcab11	6.48	2.6	10.38	5.97	9.41	8.82	20.64	8.79	4.3	3.05	1.45	4.19	6.83	6.86	8.57	2.49
Efcab12	2.29	0	0.35	2.2	0.36	1.13	1.96	4.87	0	1.48	0	7.34	5.13	4.86	3.47	16.93
Efcab14	16.07	24.22	26.68	24.39	23.57	24.64	14.51	17.29	14.4	18.07	24.23	24.69	24.74	28.1	31.78	31.21
Efcab2	7.91	5.29	6.69	2.65	7.29	7.93	4.94	8.66	7.88	18.38	28.88	32.37	39.34	56.22	47.99	73.3
Efcab3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab4a	1.99	1.7	3.41	0	2.85	1.15	0	1.12	0	0.86	3.76	7.15	6.02	2.16	4.03	6.1
Efcab4b	0.77	0	2.48	0	2.57	2.66	0	0	0	0	0	1.33	0.93	2.46	0	0
Efcab5	1.61	0	0	0.96	0.59	1.02	0	1.43	3.32	0.81	0.96	4.93	1.51	1.71	1.42	0.44
Efcab6	0.17	0	0.53	0.22	0	0	0	0	0	0	0	0.29	1	1.76	1.54	2.66
Efcab9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcc1	3.88	0	0.67	1.76	5.84	4.28	16.36	22.05	2.05	4.17	1.67	11.79	8.9	9.16	7.34	7.61
Efemp1	11.92	17.59	8.35	17.64	38.68	42.9	8.02	0.47	3.82	3.72	17.65	21.26	30.74	19.17	28.31	54.66
Efemp2	41.2	11.55	12.69	15.88	34.37	32.95	14.84	17.77	15.78	27.81	36.7	47.46	53.16	51.57	47.16	66.61
Efhb	2.2	0	3.35	0.42	0	1.08	0.47	0	0	3.31	4.49	5.41	9.46	7.65	11.64	9.66
Efhc1	3.52	0	0.42	1.05	0	0.9	0	1.79	0	1.18	2.79	5.39	11.3	29.8	13.96	21.64
Efhc2	1.31	0	0	1.75	1.45	0	0	1.12	0.43	5.43	0.59	4.51	4.34	8.32	2.6	7.25
Efhd1	0	0	0.97	1.21	0.5	1.56	0	0	0	0	0	6.24	6	15.82	27.55	36.19
Efhd2	33.36	41.69	36.77	44.26	34.2	27.38	46.87	30.1	27.99	86.83	52.76	72.64	55.05	82.61	72.07	100.28
Efna1	3.41	0.61	1.21	6.1	0	0.65	0	1.95	0	3.43	4.07	0	2.74	4.22	7.53	2.1
Efna2	24.36	21.43	24.34	18.96	61.9	45.94	68.34	53.43	28.7	44.42	40.05	29.07	19.9	14.99	14.56	16.44
Efna3	4.6	4.92	4.16	3.8	1.96	3.25	4.78	10.11	0	22.94	24.05	25.01	12.38	21.38	17.34	6.97
Efna4	20.49	19.11	25.83	16.2	11.05	28.32	21.28	13.21	18.85	5.55	0	8.15	4.44	3.34	5.57	7.12
Efna5	63.19	123.03	164.59	107.42	75.43	92.35	62.25	45.89	38.95	45.46	43.05	36.31	29.64	46.39	29.26	28.72
Efnb1	42.74	21.35	30.63	39.8	58.93	49.89	42.99	39.53	29.58	34.73	34.05	41.78	42.37	26.85	22.37	36.54
Efnb2	104.75	121.05	126.99	106.59	73.93	97.29	52.25	50.82	35.84	52.82	39.94	47.45	40.16	29.37	23.96	39.8
Efnb3	6.55	9.25	31.35	42.5	26.39	31.85	50.3	95.53	149.31	297.05	377.24	456.59	377.89	353.46	271.75	227.69
Efr3a	61.23	78.62	52.64	49.81	21.53	27.42	24.63	18.04	14.61	24.52	32.51	30.23	27.88	33.96	35.89	47.89
Efr3b	5.18	4.59	6.28	5.63	12.04	19.64	29.5	45.2	48.3	75.98	73.01	53.26	58.79	65.98	52.72	61.56
Efs	13.3	12.48	16.7	19.4	15.5	8.03	12.95	5.07	3.41	3.52	5.01	11.66	8.16	7.91	12.05	14.07
Eftud1	21.02	17.78	11.84	7.74	15.84	10.59	14.55	13.46	11.96	9.4	9.09	8.36	7.52	12.97	7.64	17.91
Eftud2	168.9	168.8	162.27	172.4	171.94	139.89	169.64	113.58	66.66	65.5	49.12	59.39	54.29	52.65	51.92	52
Egf	1.05	0.19	0.19	0.94	0.58	1.8	1.05	1.2	0	1.32	0.31	0	0.21	0.74	0.23	0
Egfem1	0.47	0	0	0.63	2.09	13.52	2.12	9.7	13.78	17.78	11.7	8.94	3.98	8.18	7.49	8.74
Egfl6	1.87	0.33	0	1.68	0	1.42	0	0.35	0	0.5	1.95	3.21	7.08	1.97	1.23	5.32
Egfl7	15.99	24.09	16.3	35.07	6.43	9.17	2.18	6.64	0	3.29	15.6	11.27	7.01	8.47	21.17	8.05
Egfl8	2.21	0	0	0	0	1.69	0	0	11.72	0	0	0	0	0	0	3.62
Egflam	11.49	1.3	0.37	0	2.89	2.2	2.87	1.59	2.54	7.61	9.34	7.8	11.76	12.73	8.76	12.64
Egfr	3.83	4.44	9.05	12.65	8.16	11.89	3.56	9.19	3	11.67	17.95	17.93	13.07	20.73	14.42	15.8
Egln1	42.44	38.29	67.13	110.3	110.22	87.54	95.29	89.7	57.01	95.8	115.77	105.03	130.95	124.87	127.77	105.9
Egln2	70.33	62.05	91.7	55.94	98.52	145.35	126.93	150.78	90.26	138.38	88.84	108.9	85.29	100.22	87.87	102.22
Egln3	16.63	11.75	9.39	10.52	22.23	23.74	26.35	23.67	34.59	34.06	58.36	38.4	42.38	33.25	32.41	25.1
Egr1	50.92	9.99	11.74	8.84	10.95	9.45	0.82	5.03	8.03	4.14	9.83	22.74	14.91	14.56	34.57	17.59
Egr2	1.69	4.21	23.54	29.81	0	0.97	0.42	0	0	0	0	2.91	2.04	1.19	1.49	0
Egr3	0.59	3.18	0	0	0	0	0	0	0	0.9	2.13	1.02	0.72	0	3.15	0
Egr4	0	0	0	0	0	0	0	0	0	0	0	4.05	0	1.24	0	0
Ehbp1	10.88	15.21	17.61	11.22	20	35.49	39.39	50.14	40.67	69.86	62.55	63.74	54.68	50.53	48.92	47.98
Ehbp1l1	14.04	14.91	5.47	1.76	3.58	6.23	6	5.98	3.47	9.87	7.92	12.31	14.68	21.73	25.03	24.66
Ehd1	39.28	62.23	79.69	52	57.52	61.01	67.12	50.3	41.61	69.72	46.25	59.14	58.47	63.76	60.25	67.33
Ehd2	7.02	17.79	14.11	2.74	21.67	25.01	4.65	2.55	1.73	7.62	10.5	19.96	22.61	26.78	22.89	42.14
Ehd3	1.82	4.38	10.71	8.54	15.13	12.35	13.33	14.58	12.71	28.85	33.02	31.34	30.1	36.46	29.12	42.05
Ehd4	23.23	41.32	29.59	23.95	19.03	17.16	2.34	1.79	0	6.73	8.39	6.93	6.46	8.28	8.28	9.62
Ehf	2.03	0.2	0.4	0.25	0	0	0.27	0	0.23	1.68	0	0	0.22	0	1.23	0.46
Ehhadh	1.38	0.89	2.36	2.97	3.98	2.85	1.66	3.48	0	2.5	0.99	1.43	4	1.46	0.37	2.04
Ehmt1	113.64	109.12	121.47	109.78	130.32	125.76	143.91	142.56	100.63	113.1	97.43	72.08	65.73	51.97	43.22	38.88
Ehmt2	81.2	59.69	87.58	79.65	119.02	122.04	138.68	123.17	114.02	109.91	91.3	93.71	86.62	98.23	92.26	96.44
Ei24	97.68	149.19	216.84	209.92	306.03	274.79	230.82	260.41	270.93	325.15	292.84	301.38	315.24	337.09	330.6	314.95
Eid1	59.22	57.73	79.11	77.66	136.96	148.67	219.67	278.35	348.3	467.31	586.26	475.17	427.29	435.64	319.86	320.55
Eid2	13.13	15.44	32.96	13.2	23.98	27.09	41.34	24.76	57.55	37.6	43.44	29.42	31.66	33.39	33.03	16.97
Eid2b	2.76	2.58	7	7.86	11.83	9.49	19.69	38.23	50.85	58.75	93.76	78.48	88.58	73.82	57.08	49.24
Eif1	198.95	218.24	227.55	233.39	248.45	247.87	261.08	287.16	299.86	237.46	174.5	219.83	211.47	208.81	179	175.81
Eif1a	200.9	277.81	272.88	212.22	116.16	117.68	75.65	61.3	86.27	99.22	89.7	94.95	99.64	97.7	103.26	86.71
Eif1ad	49.98	48.17	45.57	58.1	61.41	69.48	77.72	72.35	63.86	42.45	20.34	22.39	18.37	18.59	16.62	23.34
Eif1ax	113.69	142.54	144.46	179.56	179.21	146.38	197.96	169.11	233.44	216.48	223.03	227.8	201.38	178.9	155.84	128.03
Eif1b	76.93	53.53	111.9	124.27	174.41	161.54	252.98	249.99	264.72	220.16	208.88	268.4	229.13	221.98	184.1	139.18
Eif2a	76.76	107.4	92.51	122.43	89.39	53.82	80.75	55.31	71.53	35.1	20.82	38.88	24.13	23.52	26.98	22.39
Eif2ak1	33.45	43.79	29.78	20.87	36.81	50.91	52.46	54.48	32.94	46.37	27.16	31.48	22.25	25.87	19.6	35.49
Eif2ak2	44.27	18.98	34.42	82.37	23.99	24.44	50.38	55.44	18.23	23.05	52.83	72.31	16.66	26.14	27.73	31.03
Eif2ak3	16.96	18.14	24.02	20.27	22.45	29.6	28.48	29.08	23.76	36.97	28.03	29.56	26.46	28.71	20.26	34.04
Eif2ak4	22.49	23.21	41.42	37.65	28.78	30.92	27.75	18.05	9.01	18.91	17.12	17.05	12.12	9.5	8.03	7.66
Eif2b1	52.83	60.09	55.58	79.61	43.68	59.15	56.17	73.46	42.67	21.33	38.73	24.6	33.62	26.05	22.04	36.88
Eif2b2	41.36	33.04	25.17	19.65	39.98	31.82	26.69	29.92	12.52	26.05	19.66	32.49	23.99	24.41	25.65	33.51
Eif2b3	68.98	53.55	60.07	65.96	35.9	27.33	55.13	39.03	23.7	25.27	29.98	32.62	37.16	25.78	29.35	29.94
Eif2b4	27.71	18.43	27.19	20.55	22.73	17.14	23.64	16.66	26.69	29.22	30.04	19.02	30.19	26.54	27.19	33.93
Eif2b5	107.06	113.11	104.04	135.11	119.95	112.26	116.98	120.26	133.87	77.35	79.12	69.48	82.07	90.08	58.58	70.88
Eif2d	41.28	49.06	50.34	59.26	52.62	35.38	41.9	36.22	41.54	27.66	49.37	38.09	53.3	32.26	26.5	18.99
Eif2s1	214.69	260.26	191.18	281.94	192.93	136.99	153.46	129.27	147.31	74.92	83.97	104.35	78.82	67.71	84.93	57.85
Eif2s2	241.27	282.66	274.63	335.37	195.75	186.2	227.75	160.8	210.47	145.2	135.81	145.05	124.07	126.8	150.16	120.98
Eif2s3x	346.11	519.92	460.09	599.71	407.88	394.16	426.9	449.12	444.9	327.24	363.66	330.78	312.4	315.46	251.69	225.52
Eif2s3y	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0	0	0
Eif3a	932.6	668.17	553.48	389.43	486.17	583.86	304.06	286.45	151.1	212.66	209.81	223.2	227.64	288.91	253.36	305.91
Eif3b	336.47	464.59	384.64	318.72	279.64	268.08	216.87	212.55	115.85	98.83	125.8	110.57	112.98	108.22	93.13	130.9
Eif3c	700.32	717.04	622.62	504.13	581.22	564.81	492.97	493.99	303.11	348.81	367.12	327.47	391.65	350.17	338.35	387.07
Eif3d	200.56	177.89	188.96	284.78	221.02	181.66	167.83	159.51	141.08	140.88	119.31	113.47	120.14	123.24	90.65	100.47
Eif3e	570.68	753.36	652.3	961.93	622.64	614.99	788.8	569.85	845.76	449.95	389.37	420.39	338.19	290.26	295.49	232.37
Eif3f	92.74	92.79	83.1	101.61	115.9	88.43	109.17	130.31	133.79	75.17	74.32	77.92	72.16	63.41	73.51	47.05
Eif3g	149.63	189.5	158.18	139.37	214.44	170.67	113.38	147.62	68	103.3	109.87	66.52	111.11	69.27	88.44	95
Eif3h	513.17	596.41	602.97	744.91	626.92	670.3	740.33	776.67	1129.02	574.68	493.86	585.07	614.8	478.17	601.94	536.33
Eif3i	143.85	255.34	209.21	227.19	166.72	185.67	203.3	155.8	229.1	138.52	106.42	119.43	173.47	112.53	122.66	134.42
Eif3j1	29.8	25.84	29.46	32.04	16.41	26.55	21.5	17.95	18.73	19.96	21.75	23.32	20.93	26.66	33.31	16.67
Eif3j2	105.04	118.91	91.74	94.23	91.21	67.68	89.66	76.14	55.18	53.04	67.26	55.89	49.6	54.65	29.38	56.08
Eif3k	195.59	211.56	170.01	210.38	159.01	163.46	178.98	166.72	130.65	134.95	81.04	146.67	90.62	121.79	119.99	121.06
Eif3l	221.42	216.9	180.27	205.43	212.74	181.79	168.69	154.37	142.95	126.85	79.21	109.92	91.86	84.94	94.41	88.85
Eif3m	1214.89	1359.27	1010.74	1342.38	1188.3	1113.41	1025.37	929.49	1130.93	633.34	658.44	627.79	684.18	544.81	699.89	608.52
Eif4a1	1321.45	1638.97	1367.9	1603.02	1335.47	1291.29	1465.43	1367.11	1364.63	815.17	623.78	631	481.38	479.11	447.16	379.42
Eif4a2	475.6	366.85	295.58	563.48	290.33	369.36	385.98	492.54	997.3	897.04	982.86	864.9	802.14	751.79	756.91	581.23
Eif4a3	183.37	245.6	222.73	230.05	259.82	244.14	201.38	217.23	171.03	129.41	89.72	120.09	135.77	104.55	91.52	120.06
